2025-0428 04:41:49 DEBUG    Starting new HTTPS connection (1): hf-mirror.com:443
2025-0428 04:41:50 DEBUG    https://hf-mirror.com:443 "HEAD /bert-base-chinese/resolve/main/config.json HTTP/1.1" 200 0
2025-0428 04:41:50 DEBUG    https://hf-mirror.com:443 "HEAD /bert-base-chinese/resolve/main/config.json HTTP/1.1" 200 0
2025-0428 04:41:50 DEBUG    https://hf-mirror.com:443 "HEAD /bert-base-chinese/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-0428 04:41:51 DEBUG    bert.embeddings.word_embeddings.weight: torch.Size([21128, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.embeddings.position_embeddings.weight: torch.Size([512, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.embeddings.token_type_embeddings.weight: torch.Size([2, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.embeddings.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.embeddings.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.self.query.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.self.query.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.self.key.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.self.key.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.self.value.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.self.value.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.output.dense.weight: torch.Size([768, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.attention.output.LayerNorm.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.intermediate.dense.weight: torch.Size([3072, 768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.intermediate.dense.bias: torch.Size([3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.output.dense.weight: torch.Size([768, 3072]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.output.dense.bias: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.output.LayerNorm.weight: torch.Size([768]), require_grad=False
2025-0428 04:41:51 DEBUG    bert.encoder.layer.0.output.LayerNorm.bias: torch.Size([768]), require_grad=False
